domain,query_type,query_size
HHvF7R9plE.IPwxloIgmS.XsC3QBoi6.data.org,A,103
YqOauVzZzL.J9pxNik2h3.k5X25d1aFl.tunnel.com,A,156
bates.com,MX,144
johnson.com,NS,244
bfWw87K9ve.YysVO11Fo7.FrPcjYOtPO.2DXtJpQZy.tunnel.com,AAAA,129
qx5xhnszuR.VGWcSDskoU.bd.tunnel.com,CNAME,140
Ek6Mw2EhwK.oXzW1IB8pd.tunnel.com,NS,129
johnson.net,TXT,70
LAJCUdCaog.lIVgwsTdj9.p6Kwz.data.org,A,93
Z1VTQWTv28.ymKKXmjU0M.ARnw.tunnel.com,A,209
e6Js3R7FCo.g901H8xooQ.qWTxEg1ZK8.6H82UHZ.data.org,A,36
GpkajKC6yi.ppkBzldl3Y.0St2qX4uuf.H.data.org,A,91
rlw3alp.qxh4fu.mvo.online,AAAA,110
BYyJUN4tgG.3BS1jvELrC.FofkAZlpBP.PJl.tunnel.com,AAAA,197
uBU1fGqGmX.GdrytGPxMI.OE7RvnkmN6.CiLKYp.data.org,TXT,46
IOOvmLRfGn.QWZKhPE9Kf.T0LL.tunnel.com,TXT,165
Gkfp5huYWr.Dued5CetcR.LNWEtnDqjX.zC1Ixl.data.org,NS,43
jPiOrph4t8.HnRDuFEoEc.lxED9XOkkJ.FVgA.exfil.io,NS,97
wgqx6lyu1C.wX80k2bLry.1rrX6Azz9W.Ot.data.org,AAAA,167
q7XjBk25K8.T3kT7LQvws.MZoBBn038v.Pv.data.org,NS,113
if5bg2ds.lw6y6.7p07y.info,CNAME,237
rlAjvuzv0Z.8lvCRM571x.nwGP0P5Uv4.BsFzLl.tunnel.com,CNAME,48
hj5vwQIDxi.ICzFjsLxXg.obABWJKV5c.kahiICG.exfil.io,MX,46
8vbmN9vLVX.cxjwQDCog2.kPhbYQd.tunnel.com,CNAME,173
banks-ross.com,A,198
1f8kjh.thsu3.ca9.bxri.info,TXT,207
tdwfluk.uqt73d0l.m4ia.8begahr.biz,NS,154
gomez.com,CNAME,209
21uyh6r0.01u.36aivs07.xyz,CNAME,166
yVKhTfOPqW.3D3AeJhEro.4HV5yPx9yE.4DUcU2.tunnel.com,A,157
78J9sKphQU.awX7bPYbHr.6UuBeGP5Ke.AxiVCwfV.exfil.io,MX,85
57KQ7eUoor.jbnlz1vNCM.Kmqra.data.org,CNAME,166
XwNYfUcx2E.sxao1JnHK7.Vv.data.org,TXT,49
phillips.com,AAAA,68
fnUWqthw8L.cuYpDqTXCa.gTAqv5THzE.8iePmNYEk.data.org,MX,96
beck-velez.com,A,220
hffSS6wiq5.ZLWvDxcISO.jrTl1r7hzh.Qgomw.data.org,TXT,101
welch.com,A,123
y53ztr.516469.7qy8xws.cwa.info,NS,55
6j1tN6ws9V.9u5YzMRf1I.JbHk86hhLo.y.tunnel.com,NS,109
f5LTyiPtsC.EwubekM90C.GPz0o55Rjk.SEXh.data.org,AAAA,107
4XoCSMsfus.81tByeSj6a.76nUdbstbQ.nNE7K5jMja.data.org,CNAME,56
clphM1Zx0J.6rrD68GkPf.BjgonjYAE6.data.org,TXT,196
Zpj13M9hSA.rl9z1YqoPM.gUFltuNUT.data.org,A,211
GZSehOGdAc.4OvldXO1Ek.1C3Jr1Tuiq.ZjzUmmN.data.org,AAAA,145
y7v3.pd9fmq.jpj5f.5ws.online,NS,52
morris.net,NS,213
pe0QwyKuDo.mGa6ZLd4bB.0cwRY7ek7a.a8.tunnel.com,A,67
ouYZbNPMo9.HVPXYLK5BF.x7i.data.org,NS,41
smith.com,AAAA,193
bEADdhPN4G.yuL9YN964I.oeFB6UQiBD.R73SFRU1O.tunnel.com,NS,103
agip5n1.s346p2y.emps.online,A,122
hester.com,AAAA,132
valenzuela.com,NS,102
weaver.com,CNAME,38
wbsFmiv0pV.CMwYGI253r.5dKTpD.tunnel.com,CNAME,97
urJfhD0yvm.nDhoPUi83x.Lz3eQqFGa0.kjTv2bO4.data.org,MX,91
6BF4AUsUde.yKVayrSVIe.h3nAez2RO2.KkPYEoo0.exfil.io,A,204
SDpLQ8EOrf.qWOpueCruY.I.data.org,AAAA,119
newman.biz,CNAME,180
qVt3876Ib9.Aey1quHWRg.VpFqx9lK3Q.exfil.io,NS,173
v9nm3olq.i3b7vj3j.3fgig.info,MX,124
k8pxgKko17.0Y9Z7jRQqP.UwkK9.data.org,AAAA,187
carrillo.com,NS,66
5DoU6dq5Kz.YhoQ0qwxnP.ruzIYAFomR.rhHT1B.exfil.io,CNAME,76
jWoeA1wQVc.cM3R01dVgH.0eCYBtkjFV.lq1w06F.data.org,TXT,150
