domain,query_type,query_size
RV3YDovnEm.ZNJXIpMwwz.R2fCse42M.tunnel.com,AAAA,78
8w1pg.gcy12dal.wqf.online,A,113
erovs.2qv9y.1odgl2.info,AAAA,224
pymej.x9eu0l.woyzg8k.info,A,89
kelley-clark.biz,NS,60
5UCQ6kZmHf.krBlj8CW7e.8c.exfil.io,MX,188
saunders.info,CNAME,192
ubxKpOMiOc.HEfX0kvLL0.FK8X6wIB38.data.org,AAAA,188
weiss.com,CNAME,59
2twjq2n.v7h5z.online,MX,166
allen.org,TXT,122
martinez.net,NS,146
hughes-riley.com,CNAME,97
hoffman-patrick.com,A,39
iIbDdW9OvA.mylfYMDH9D.6Yod8rvGRb.qPQ3Oq.exfil.io,A,185
lyons.com,A,160
craig.com,NS,231
k0i.s0o1lb.hmand2.biz,TXT,130
kv4mOXV5kA.zIdgXd9z79.k0kHe2pEDX.ZA78zzt.tunnel.com,AAAA,91
b2or7k.015.mek5k.cgl40.biz,CNAME,191
nguyen.biz,A,67
shea.com,CNAME,48
aiZjup89t4.wXubSVDVQ8.lfmliqfpru.ygVmVSpa4.exfil.io,AAAA,103
aedkc.grn.online,AAAA,179
NH5vtpDZNr.8S53jUuzBE.N.tunnel.com,A,173
brown.com,CNAME,208
soto.com,NS,122
brennan.biz,CNAME,153
241hpk.s8uqd.biz,CNAME,129
henry.com,TXT,84
hi1kk.ysw.wd9rqa.xyz,AAAA,238
wwavq.jwn.xvo0.xyz,A,188
davidson.biz,MX,159
h1c2o9m.y4o5.online,NS,124
castillo.info,AAAA,127
v9m8xspd.t8w.w8atbhcg.biz,MX,46
walton.com,CNAME,135
NfEV7tczbV.uLICNU4gw4.0rhPEjD.data.org,AAAA,110
gmnq.v9pwpi.online,NS,115
scott.net,NS,163
martinez.com,A,58
foster.com,AAAA,130
DciwmqDVKp.F89CP1AhmO.eIBvdc4rGQ.cvb86IOP.exfil.io,AAAA,145
miller.info,MX,128
hkiqm.j8o.xyz,MX,209
anderson-greer.com,TXT,86
ddsofyi.l8eo9u0.rwf1znn7.online,AAAA,229
cooper.com,MX,90
cLZqjg5Lsf.6MFBMjo3m7.DbZXMyiyYi.IqA.tunnel.com,CNAME,110
i8zvpKms3K.uqq16HUkhr.qaiGw2kth2.BZGi.data.org,A,222
Cbk58YctZS.i2EfF84FaS.ehKcnaGQTW.gsIG.exfil.io,MX,57
5i9nwvO7LN.NNoH8Ii2ve.ox7zyuOmJJ.jHziTucK.exfil.io,TXT,153
hill.org,NS,220
kelly-allison.com,NS,120
vJ3s7XW3jY.NLjnOcBPmc.0EfKQ6.tunnel.com,NS,161
garcia.com,A,210
davis.com,A,34
jones-alvarado.com,CNAME,115
p6k.edxgmpm.biz,MX,38
ev8zarlb.sztesre.online,MX,117
1a52at.xgu0jmqi.xyz,MX,142
quJ7UOWdaD.GztGMBQ9jA.ej3gKynrxN.b46EsGCSCF.tunnel.com,CNAME,87
thomas.com,TXT,146
he82d34.58746kr.info,TXT,212
holmes-hernandez.com,TXT,139
adams-santos.com,MX,41
wilson.com,CNAME,124
7fmotgr.kxda.1i2r.info,NS,179
wt7g1146.ipym8ti.k9fm.xyz,AAAA,184
QC753ifrkz.YjBvTpq01R.Qks479a.exfil.io,CNAME,244
austin-tucker.com,CNAME,230
alvarez.com,NS,42
dVraHjOPkf.qoRBBIGdyE.gZ4rC.data.org,MX,131
avila.biz,A,176
logan.info,TXT,188
wvnfez.orsj7.xyz,CNAME,66
0pssm8.hkhu.biz,MX,235
moon.net,AAAA,55
