domain,query_type,query_size
xg34.co,AAAA,114
2qi9d4y.biz,MX,234
gafwc6tz9h.22s.0bw1wiunu.xyz,TXT,115
gd71na7va.biz,MX,216
ji5z9wwm.org,TXT,151
msof.yf8fb6.net,CNAME,158
dbf0g.63hq.io,MX,123
8cr63323.m5j.io,A,125
.info,MX,32
3btj321bcr.nofexc.v2tym.info,MX,196
7vt.k9g.jjhtfsm6fi.biz,AAAA,65
ekf1j4n1.j8cqlsyv5w.lrhlvy7.io,CNAME,167
872jyk7g.r31bsuot.io,AAAA,172
a2ybg.6orig3tua.info,NS,55
emwuj4v.vydiy.net,TXT,93
.info,A,76
.co,CNAME,62
socmxrvn.b124z04xyf.xyz,MX,69
pd4cg21dv.fstsqn8ym.gfq6gwlln9.biz,AAAA,88
cqqm.nhj4qzt2aj.lvi96fbk9.org,TXT,171
vncj3ub.co,A,245
l3xo6qo4.btflr2.6n62o.com,NS,193
0udp.co,AAAA,195
kom4q00.co,A,81
.co,CNAME,162
.org,MX,122
ytz.z8pp.org,NS,57
.net,A,247
.biz,TXT,245
.info,AAAA,176
cwy58pg.xyz,CNAME,48
d7g3.co,A,100
kmftvw.oaiunft.vt0.biz,AAAA,93
khcs9.aykp5gwi.6qi86l.net,CNAME,191
y2fj5co85.biz,TXT,173
trs8s.com,MX,92
fo4cphq3we.9f1o8.org,AAAA,219
gk50iydas7.qctnew7k.pbhotdl2.biz,TXT,216
a056e3.xyz,CNAME,196
.xyz,TXT,146
l5gjc.ezt25ip.oyka.com,CNAME,47
pyx1jh.ums.1bxlvuapb5.biz,NS,126
ns7fvf.biz,TXT,230
e6zezzbok.38hc.biz,A,77
uwg0lxj.io,NS,180
.net,MX,84
m1nb.xyz,MX,69
.info,AAAA,164
k3cm.io,CNAME,71
.com,TXT,167
.io,AAAA,208
pmlwcvj.pjmcot6b.cahod36maq.net,AAAA,171
keuh7dnx.byd40lrj25.9o9p7296.io,TXT,161
3kz.biz,TXT,103
.com,NS,213
v8whq.7i2bt.co,NS,75
esnta0ndr.hv0.com,MX,66
1wuvs2qd.co,AAAA,131
iznma.net,CNAME,72
.io,CNAME,48
tga84.info,TXT,221
48egxkan.xyz,AAAA,36
5zundsc.y5fr.9tmtib94q.net,TXT,31
ske0.jsu7ewp.7wuhwc.info,MX,207
1huums.co,AAAA,199
.io,CNAME,110
ohm88.biz,NS,133
kk81crk.bghbu.el4epo.org,A,42
avdcy86wco.u3zk.info,A,228
sxqmz1.olo8gi.qdizban422.io,NS,234
.xyz,CNAME,117
tp2n.uttq7m.org,AAAA,119
chy7y4.vo8vitcd.wge0hax.xyz,TXT,214
8pz.9h30.r6h.co,AAAA,40
.xyz,A,118
fncxu75qgu.org,CNAME,196
czin.net,AAAA,65
d2tyka.co,NS,81
suoi.d91dgk3k.io,A,234
.org,NS,144
.info,TXT,134
io15.sly.1dk.info,NS,142
chkyxq2w0g.0vj4ppkg.e9g3m0i.biz,A,230
.io,A,124
sbvvnoc.sxg8.zhekma.com,A,179
qck1fdanr0.rup3vs2uf1.3q9mkq7e.biz,CNAME,69
vko8.nvp8jot8.io,TXT,165
v0crh.7djp3apdd.biz,MX,130
2i7tb.enr.co,A,141
6qpb4x.0fw2.5q21p9.com,AAAA,35
os5m0zckcc.xfqqzviool.n3b51v.biz,TXT,148
exc3auns.org,AAAA,160
cvmvilpv.1kst2ayc.net,A,199
jdn07bmf.wot9xl9jjn.zormqkpy4.info,CNAME,191
l3ffjjmzad.com,NS,179
.info,A,95
wj0sugd.mcjynuw.xyz,TXT,186
w76.99os.ncxrpddz.io,AAAA,52
bzyi1f578p.mmc.co,NS,155
fzh9s4cu.15vqs9ps03.uo4ya29c.net,A,219
.info,TXT,189
.biz,MX,88
f3dmwdcwc9.com,A,233
4wyc7adzkx.m9q5u91v.ri6.com,MX,247
if2.biz,TXT,130
1ct0ecyn.net,AAAA,210
o1h3fb3g.4z7gdnpzze.q61h8kt9.org,NS,94
r16c.p9h9o7xhc.5nejkx.biz,CNAME,106
t2hkp.y1exj.co,CNAME,73
tacf64gbr.ekh5.e09a9hkaf.co,CNAME,243
6m6.xyz,AAAA,111
87so948r5.hjkyb.biz,A,130
iyshhzj63.8eak0.7gmtatl.info,CNAME,133
a8sfi42t.jaojc3r2v.biz,CNAME,182
2a5g5l.com,A,32
583.42b78vtic.keo7o93r.co,AAAA,37
.info,NS,64
g19zm.biz,CNAME,228
ixxkp.co,NS,95
.org,MX,89
.biz,MX,204
.biz,MX,85
wsjcb40.info,AAAA,188
jcpq03f8s.xyz,AAAA,54
p9v.mks.info,AAAA,233
myzcp0nsv.xlamt3w.y65xaw2kf.info,A,31
lx00vqv1kf.m8ih.addf4hnrrd.com,AAAA,59
eiu.org,A,120
ifj2.ihilzt.info,AAAA,167
.co,AAAA,191
ttkz6x0.cmzvhgpz5.net,CNAME,128
.com,TXT,219
xtldnkon.yu2k3.xyz,A,78
tcz.56tzmd4629.uzxjr.biz,MX,64
.com,AAAA,205
dsspemrb8.w3na020e.x8f6lxva.info,MX,183
npm.biz,MX,138
mb5hczmcl.tt2oyvw9ji.org,MX,103
uj7axcpsh5.f64p3sona.xyz,NS,197
.com,NS,31
.xyz,CNAME,180
gf10bfk.5eldwsf.xq8p3j.io,NS,179
.io,A,190
z7o.oewx.b4e4i7.co,AAAA,77
oqy.orpyakdw.co,CNAME,136
.biz,CNAME,91
ra3bxulicc.o4fgd8wpn.co,NS,250
f7y6eytdv.info,CNAME,115
5ru.f360m3n9.biz,NS,162
mi9ucb.xyz,AAAA,181
.org,NS,36
nnb50.0vpz.si5gkodd90.info,TXT,152
5gce7ek.a0i.biz,AAAA,233
dlvxg46og.0pmyxr1.dfen.xyz,NS,78
lw3qp.io,TXT,60
9n3z92.9o4hwcv.xyz,TXT,41
.xyz,A,110
9ty52.xyz,AAAA,122
9ed.4gposnrem.u708smyg5.xyz,AAAA,150
mxyv7w6.tdr89qz2k.info,A,78
chqbrih0.net,TXT,158
4stchg.kddf79.info,NS,99
nnu.xyz,CNAME,185
r4lr.7s6.io,MX,79
cts.ps0.io,MX,31
